Extraction Day;Calendar day;Flight Number;Sched Airport Arriva;Sched Airport Depart;Pax total;Coupons+YQ on current bookings;Current revenue;Group pax;Cabin Capacity
29/09/2018;01/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;01/03/2019;LG-9412;SCN;TXL;4 PAX;148,00 EUR;176,0;0 PAX;67 PAX
29/09/2018;01/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;01/03/2019;LG-9414;SCN;TXL;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
29/09/2018;01/03/2019;LG-9415;TXL;SCN;1 PAX;55,00 EUR;65,0;0 PAX;67 PAX
29/09/2018;01/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;02/03/2019;LG-9411;TXL;SCN;2 PAX;142,00 EUR;172,0;0 PAX;67 PAX
29/09/2018;02/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;03/03/2019;LG-9413;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
29/09/2018;03/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;03/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;03/03/2019;LG-9416;SCN;TXL;1 PAX;92,00 EUR;109,0;0 PAX;67 PAX
29/09/2018;04/03/2019;LG-9411;TXL;SCN;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
29/09/2018;04/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;04/03/2019;LG-9413;TXL;SCN;2 PAX;74,00 EUR;88,0;0 PAX;67 PAX
29/09/2018;04/03/2019;LG-9414;SCN;TXL;1 PAX;10,00 EUR;21,0;0 PAX;67 PAX
29/09/2018;04/03/2019;LG-9415;TXL;SCN;2 PAX;20,00 EUR;38,0;0 PAX;67 PAX
29/09/2018;04/03/2019;LG-9416;SCN;TXL;10 PAX;289,00 EUR;371,0;0 PAX;67 PAX
29/09/2018;05/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;05/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;05/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;05/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;05/03/2019;LG-9415;TXL;SCN;3 PAX;141,00 EUR;168,0;0 PAX;67 PAX
29/09/2018;05/03/2019;LG-9416;SCN;TXL;1 PAX;148,00 EUR;175,0;0 PAX;67 PAX
29/09/2018;06/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;06/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;06/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;06/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;06/03/2019;LG-9415;TXL;SCN;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
29/09/2018;06/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;07/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;07/03/2019;LG-9412;SCN;TXL;3 PAX;131,00 EUR;154,0;0 PAX;67 PAX
29/09/2018;07/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;07/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
29/09/2018;07/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;07/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;08/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;08/03/2019;LG-9412;SCN;TXL;1 PAX;47,00 EUR;55,0;0 PAX;67 PAX
29/09/2018;08/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;08/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
29/09/2018;08/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;08/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;09/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;09/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;10/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
29/09/2018;10/03/2019;LG-9416;SCN;TXL;4 PAX;305,00 EUR;367,0;0 PAX;67 PAX
30/09/2018;01/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;01/03/2019;LG-9412;SCN;TXL;4 PAX;148,00 EUR;176,0;0 PAX;67 PAX
30/09/2018;01/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;01/03/2019;LG-9414;SCN;TXL;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
30/09/2018;01/03/2019;LG-9415;TXL;SCN;1 PAX;55,00 EUR;65,0;0 PAX;67 PAX
30/09/2018;01/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;02/03/2019;LG-9411;TXL;SCN;2 PAX;142,00 EUR;172,0;0 PAX;67 PAX
30/09/2018;02/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;03/03/2019;LG-9413;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
30/09/2018;03/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;03/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;03/03/2019;LG-9416;SCN;TXL;1 PAX;92,00 EUR;109,0;0 PAX;67 PAX
30/09/2018;04/03/2019;LG-9411;TXL;SCN;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
30/09/2018;04/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;04/03/2019;LG-9413;TXL;SCN;2 PAX;74,00 EUR;88,0;0 PAX;67 PAX
30/09/2018;04/03/2019;LG-9414;SCN;TXL;1 PAX;10,00 EUR;21,0;0 PAX;67 PAX
30/09/2018;04/03/2019;LG-9415;TXL;SCN;2 PAX;20,00 EUR;38,0;0 PAX;67 PAX
30/09/2018;04/03/2019;LG-9416;SCN;TXL;10 PAX;289,00 EUR;371,0;0 PAX;67 PAX
30/09/2018;05/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;05/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;05/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;05/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;05/03/2019;LG-9415;TXL;SCN;3 PAX;141,00 EUR;168,0;0 PAX;67 PAX
30/09/2018;05/03/2019;LG-9416;SCN;TXL;1 PAX;148,00 EUR;175,0;0 PAX;67 PAX
30/09/2018;06/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;06/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;06/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;06/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;06/03/2019;LG-9415;TXL;SCN;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
30/09/2018;06/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;07/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;07/03/2019;LG-9412;SCN;TXL;3 PAX;131,00 EUR;154,0;0 PAX;67 PAX
30/09/2018;07/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;07/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
30/09/2018;07/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;07/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;08/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;08/03/2019;LG-9412;SCN;TXL;1 PAX;47,00 EUR;55,0;0 PAX;67 PAX
30/09/2018;08/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;08/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
30/09/2018;08/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;08/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;09/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;09/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;10/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
30/09/2018;10/03/2019;LG-9416;SCN;TXL;4 PAX;305,00 EUR;367,0;0 PAX;67 PAX
01/10/2018;01/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;01/03/2019;LG-9412;SCN;TXL;4 PAX;148,00 EUR;176,0;0 PAX;67 PAX
01/10/2018;01/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;01/03/2019;LG-9414;SCN;TXL;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
01/10/2018;01/03/2019;LG-9415;TXL;SCN;1 PAX;55,00 EUR;65,0;0 PAX;67 PAX
01/10/2018;01/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;02/03/2019;LG-9411;TXL;SCN;2 PAX;142,00 EUR;172,0;0 PAX;67 PAX
01/10/2018;02/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;03/03/2019;LG-9413;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
01/10/2018;03/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;03/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;03/03/2019;LG-9416;SCN;TXL;1 PAX;92,00 EUR;109,0;0 PAX;67 PAX
01/10/2018;04/03/2019;LG-9411;TXL;SCN;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
01/10/2018;04/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;04/03/2019;LG-9413;TXL;SCN;2 PAX;74,00 EUR;88,0;0 PAX;67 PAX
01/10/2018;04/03/2019;LG-9414;SCN;TXL;1 PAX;10,00 EUR;21,0;0 PAX;67 PAX
01/10/2018;04/03/2019;LG-9415;TXL;SCN;2 PAX;20,00 EUR;38,0;0 PAX;67 PAX
01/10/2018;04/03/2019;LG-9416;SCN;TXL;10 PAX;289,00 EUR;371,0;0 PAX;67 PAX
01/10/2018;05/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;05/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;05/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;05/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;05/03/2019;LG-9415;TXL;SCN;3 PAX;141,00 EUR;168,0;0 PAX;67 PAX
01/10/2018;05/03/2019;LG-9416;SCN;TXL;1 PAX;148,00 EUR;175,0;0 PAX;67 PAX
01/10/2018;06/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;06/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;06/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;06/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;06/03/2019;LG-9415;TXL;SCN;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
01/10/2018;06/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;07/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;07/03/2019;LG-9412;SCN;TXL;3 PAX;131,00 EUR;154,0;0 PAX;67 PAX
01/10/2018;07/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;07/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
01/10/2018;07/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;07/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;08/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;08/03/2019;LG-9412;SCN;TXL;2 PAX;94,00 EUR;110,0;0 PAX;67 PAX
01/10/2018;08/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;08/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
01/10/2018;08/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;08/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;09/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;09/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
01/10/2018;10/03/2019;LG-9415;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
01/10/2018;10/03/2019;LG-9416;SCN;TXL;4 PAX;305,00 EUR;367,0;0 PAX;67 PAX
02/10/2018;01/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;01/03/2019;LG-9412;SCN;TXL;4 PAX;148,00 EUR;176,0;0 PAX;67 PAX
02/10/2018;01/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;01/03/2019;LG-9414;SCN;TXL;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
02/10/2018;01/03/2019;LG-9415;TXL;SCN;1 PAX;55,00 EUR;65,0;0 PAX;67 PAX
02/10/2018;01/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;02/03/2019;LG-9411;TXL;SCN;2 PAX;142,00 EUR;172,0;0 PAX;67 PAX
02/10/2018;02/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;03/03/2019;LG-9413;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
02/10/2018;03/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;03/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;03/03/2019;LG-9416;SCN;TXL;1 PAX;92,00 EUR;109,0;0 PAX;67 PAX
02/10/2018;04/03/2019;LG-9411;TXL;SCN;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
02/10/2018;04/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;04/03/2019;LG-9413;TXL;SCN;2 PAX;74,00 EUR;88,0;0 PAX;67 PAX
02/10/2018;04/03/2019;LG-9414;SCN;TXL;1 PAX;10,00 EUR;21,0;0 PAX;67 PAX
02/10/2018;04/03/2019;LG-9415;TXL;SCN;2 PAX;20,00 EUR;38,0;0 PAX;67 PAX
02/10/2018;04/03/2019;LG-9416;SCN;TXL;10 PAX;289,00 EUR;371,0;0 PAX;67 PAX
02/10/2018;05/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;05/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;05/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;05/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;05/03/2019;LG-9415;TXL;SCN;3 PAX;141,00 EUR;168,0;0 PAX;67 PAX
02/10/2018;05/03/2019;LG-9416;SCN;TXL;1 PAX;148,00 EUR;175,0;0 PAX;67 PAX
02/10/2018;06/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;06/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;06/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;06/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;06/03/2019;LG-9415;TXL;SCN;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
02/10/2018;06/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;07/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;07/03/2019;LG-9412;SCN;TXL;3 PAX;131,00 EUR;154,0;0 PAX;67 PAX
02/10/2018;07/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;07/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
02/10/2018;07/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;07/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;08/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;08/03/2019;LG-9412;SCN;TXL;2 PAX;94,00 EUR;110,0;0 PAX;67 PAX
02/10/2018;08/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;08/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
02/10/2018;08/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;08/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;09/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;09/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
02/10/2018;10/03/2019;LG-9415;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
02/10/2018;10/03/2019;LG-9416;SCN;TXL;4 PAX;305,00 EUR;367,0;0 PAX;67 PAX
03/10/2018;01/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;01/03/2019;LG-9412;SCN;TXL;4 PAX;148,00 EUR;176,0;0 PAX;67 PAX
03/10/2018;01/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;01/03/2019;LG-9414;SCN;TXL;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
03/10/2018;01/03/2019;LG-9415;TXL;SCN;1 PAX;55,00 EUR;65,0;0 PAX;67 PAX
03/10/2018;01/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;02/03/2019;LG-9411;TXL;SCN;2 PAX;142,00 EUR;172,0;0 PAX;67 PAX
03/10/2018;02/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;03/03/2019;LG-9413;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
03/10/2018;03/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;03/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;03/03/2019;LG-9416;SCN;TXL;1 PAX;92,00 EUR;109,0;0 PAX;67 PAX
03/10/2018;04/03/2019;LG-9411;TXL;SCN;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
03/10/2018;04/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;04/03/2019;LG-9413;TXL;SCN;2 PAX;74,00 EUR;88,0;0 PAX;67 PAX
03/10/2018;04/03/2019;LG-9414;SCN;TXL;1 PAX;10,00 EUR;21,0;0 PAX;67 PAX
03/10/2018;04/03/2019;LG-9415;TXL;SCN;2 PAX;20,00 EUR;38,0;0 PAX;67 PAX
03/10/2018;04/03/2019;LG-9416;SCN;TXL;10 PAX;289,00 EUR;371,0;0 PAX;67 PAX
03/10/2018;05/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;05/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;05/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;05/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;05/03/2019;LG-9415;TXL;SCN;3 PAX;141,00 EUR;168,0;0 PAX;67 PAX
03/10/2018;05/03/2019;LG-9416;SCN;TXL;1 PAX;148,00 EUR;175,0;0 PAX;67 PAX
03/10/2018;06/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;06/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;06/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;06/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;06/03/2019;LG-9415;TXL;SCN;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
03/10/2018;06/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;07/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;07/03/2019;LG-9412;SCN;TXL;3 PAX;131,00 EUR;154,0;0 PAX;67 PAX
03/10/2018;07/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;07/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
03/10/2018;07/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;07/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;08/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;08/03/2019;LG-9412;SCN;TXL;2 PAX;94,00 EUR;110,0;0 PAX;67 PAX
03/10/2018;08/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;08/03/2019;LG-9414;SCN;TXL;1 PAX;71,00 EUR;86,0;0 PAX;67 PAX
03/10/2018;08/03/2019;LG-9415;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;08/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;09/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;09/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
03/10/2018;10/03/2019;LG-9415;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
03/10/2018;10/03/2019;LG-9416;SCN;TXL;4 PAX;305,00 EUR;367,0;0 PAX;67 PAX
04/10/2018;01/03/2019;LG-9411;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
04/10/2018;01/03/2019;LG-9412;SCN;TXL;4 PAX;148,00 EUR;176,0;0 PAX;67 PAX
04/10/2018;01/03/2019;LG-9413;TXL;SCN;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
04/10/2018;01/03/2019;LG-9414;SCN;TXL;1 PAX;37,00 EUR;44,0;0 PAX;67 PAX
04/10/2018;01/03/2019;LG-9415;TXL;SCN;1 PAX;55,00 EUR;65,0;0 PAX;67 PAX
04/10/2018;01/03/2019;LG-9416;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
04/10/2018;02/03/2019;LG-9411;TXL;SCN;2 PAX;142,00 EUR;172,0;0 PAX;67 PAX
04/10/2018;02/03/2019;LG-9412;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
04/10/2018;03/03/2019;LG-9413;TXL;SCN;1 PAX;47,00 EUR;56,0;0 PAX;67 PAX
04/10/2018;03/03/2019;LG-9414;SCN;TXL;0 PAX;0,00 EUR;0,0;0 PAX;67 PAX
